#EventType;EventTag;Source;Destination;Time;Endwaiting
SEND;RESOURCE_CHARACTERISTICS_REQUEST;Broker;Broker;0.0;0.0
SEND;REGISTER_RESOURCE;Datacenter;CloudInformationService;0.0;0.0;3
SEND;RESOURCE_CHARACTERISTICS;Broker;Datacenter;0.0;0.0;2
SEND;RESOURCE_CHARACTERISTICS;Datacenter;Broker;0.0;0.0;org.cloudbus.cloudsim.DatacenterCharacteristics@4554617c
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@74a14482
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@1540e19d
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@677327b6
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@14ae5a5
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@7f31245a
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@6d6f6e28
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@135fbaa4
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@45ee12a7
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@330bedb4
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@2503dbd3
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@4b67cf4d
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@7ea987ac
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@12a3a380
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@29453f44
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@5cad8086
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@6e0be858
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@61bbe9ba
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@610455d6
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@511d50c0
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@60e53b93
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@5e2de80c
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@1d44bcfa
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@266474c2
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@6f94fa3e
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@5e481248
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@66d3c617
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@63947c6b
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@2b193f2d
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@355da254
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@4dc63996
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@d716361
SEND;VM_CREATE_ACK;Broker;Datacenter;0.0;0.0;io_storage.IoVm@6ff3c5b5
